OPR_DT,VALUE
1/1/23,118.5514
1/1/23,118.5514
1/1/23,118.5514
1/1/23,118.5514
1/1/23,114.72
1/1/23,112.14
1/1/23,109.94
1/1/23,109.4524
1/1/23,112.14
1/1/23,108.9994
1/1/23,109.21062
1/1/23,108.2921
1/1/23,110.76892
1/1/23,111.3748
1/1/23,110.9312
1/1/23,110.9288
1/1/23,109.29
1/1/23,109.29
1/1/23,109.29
1/1/23,108.6
1/1/23,107.2088
1/1/23,103.83962
1/1/23,103.83962
1/1/23,100.0012
1/1/23,105
1/1/23,104.07715
1/1/23,103.6012
1/1/23,103.63964
1/1/23,103.63964
1/1/23,103.63964
1/1/23,103.0012
1/1/23,103.63964
1/1/23,100.0012
1/1/23,100.0012
1/1/23,99.1024
1/1/23,98.5612
1/1/23,103.6012
1/1/23,106.24
1/1/23,104.07715
1/1/23,104.14
1/1/23,104.14
1/1/23,104.07715
1/1/23,102.3612
1/1/23,104.14
1/1/23,104.32
1/1/23,104.07715
1/1/23,104.32
1/1/23,105.7712
1/1/23,109.2512
1/1/23,110.0636
1/1/23,112.14
1/1/23,114.38
1/1/23,113.525
1/1/23,113.7962
1/1/23,113.51
1/1/23,112.6712
1/1/23,114.38
1/1/23,114.38
1/1/23,113.85
1/1/23,112.14
1/1/23,112.14
1/1/23,112.14
1/1/23,112.14
1/1/23,112.14
1/1/23,112.14
1/1/23,112.72421
1/1/23,114.38
1/1/23,112.14
1/1/23,112.14
1/1/23,113.59164
1/1/23,114.14366
1/1/23,114.41
1/1/23,112.48811
1/1/23,112.35715
1/1/23,107.67994
1/1/23,112.41446
1/1/23,112.41446
1/1/23,113.97419
1/1/23,114.11453
1/1/23,118.40433
1/1/23,118.42739
1/1/23,114.41
1/1/23,114.72
1/1/23,114.72
1/1/23,115.04
1/1/23,115.04
1/1/23,114.72
1/1/23,122.6
1/1/23,127.3
1/1/23,131.49
1/1/23,130.0024
1/1/23,127.22
1/1/23,127.3512
1/1/23,127.22
1/1/23,125.0024
1/1/23,122.6012
1/1/23,135.3112
1/1/23,118.3612
1/1/23,112.14
1/1/23,113.06468
1/1/23,110.79428
1/1/23,112.02816
1/1/23,106.64911
1/1/23,104.12016
1/1/23,103.57269
1/1/23,100.43866
1/1/23,103.4117
1/1/23,103.48835
1/1/23,109.30026
1/1/23,110.32501
1/1/23,109.30026
1/1/23,105.98421
1/1/23,104.20806
1/1/23,102.93562
1/1/23,101.32417
1/1/23,100.04451
1/1/23,99.74079
1/1/23,91.27754
1/1/23,88.61422
1/1/23,89.94271
1/1/23,96.68851
1/1/23,99.12056
1/1/23,99.50172
1/1/23,91.91374
1/1/23,81.61432
